ID,proportion
0731,6.596132028178676e-06
0266,6.596132028178676e-06
02A9,6.596132028178676e-06
07C7,6.596132028178676e-06
030B,6.596132028178676e-06
01FE,6.596132028178676e-06
043D,6.596132028178676e-06
0445,6.596132028178676e-06
03B9,6.596132028178676e-06
07BC,6.596132028178676e-06
014A,6.596132028178676e-06
03B7,6.596132028178676e-06
0417,6.596132028178676e-06
053A,6.596132028178676e-06
0153,6.596132028178676e-06
000A,6.596132028178676e-06
04AA,6.596132028178676e-06
0788,6.596132028178676e-06
0232,6.596132028178676e-06
07AD,6.596132028178676e-06
0086,6.596132028178676e-06
05A6,6.596132028178676e-06
0047,6.596132028178676e-06
0364,6.596132028178676e-06
0183,6.596132028178676e-06
02A2,6.596132028178676e-06
04AC,6.596132028178676e-06
05D3,6.596132028178676e-06
073E,6.596132028178676e-06
03DE,6.596132028178676e-06
065B,6.596132028178676e-06
025A,6.596132028178676e-06
07C8,6.596132028178676e-06
0242,6.596132028178676e-06
0204,6.596132028178676e-06
05CF,6.596132028178676e-06
06C7,6.596132028178676e-06
002C,6.596132028178676e-06
0065,6.596132028178676e-06
02E1,6.596132028178676e-06
04AE,6.596132028178676e-06
05F8,6.596132028178676e-06
0143,6.596132028178676e-06
0679,6.596132028178676e-06
059D,6.596132028178676e-06
02C3,6.596132028178676e-06
04F8,6.596132028178676e-06
0569,6.596132028178676e-06
059F,6.596132028178676e-06
05DC,6.596132028178676e-06
04DD,6.596132028178676e-06
078B,6.596132028178676e-06
02EB,6.596132028178676e-06
03C0,6.596132028178676e-06
0588,6.596132028178676e-06
06E3,6.596132028178676e-06
0244,6.596132028178676e-06
0674,6.596132028178676e-06
0165,6.596132028178676e-06
034C,6.596132028178676e-06
0414,6.596132028178676e-06
0422,6.596132028178676e-06
06EB,6.596132028178676e-06
06D1,6.596132028178676e-06
020D,6.596132028178676e-06
0749,6.596132028178676e-06
0596,6.596132028178676e-06
00DE,6.596132028178676e-06
04E8,6.596132028178676e-06
0667,6.596132028178676e-06
03DD,6.596132028178676e-06
007F,6.596132028178676e-06
015B,6.596132028178676e-06
032E,6.596132028178676e-06
0738,6.596132028178676e-06
015A,6.596132028178676e-06
043B,6.596132028178676e-06
02EC,6.596132028178676e-06
0215,6.596132028178676e-06
0309,6.596132028178676e-06
0163,6.596132028178676e-06
